Airport_code,Airport_Name,Country,Runway_Count,Timezone
PHL,Philadelphia International Airport,US,4.0,TBD
PHX,Phoenix Sky Harbor International Airport,US,3.0,TBD
PIA,General Wayne A. Downing Peoria International Airport,US,2.0,TBD
PIT,Pittsburgh International Airport,US,4.0,TBD
PVD,Theodore Francis Green State Airport,US,2.0,TBD
PWM,Portland International Jetport,US,2.0,TBD
RDU,Raleigh Durham International Airport,US,3.0,TBD
RFD,Chicago Rockford International Airport,US,2.0,TBD
RIC,Richmond International Airport,US,3.0,TBD
RND,Randolph Air Force Base,US,2.0,TBD
RNO,Reno Tahoe International Airport,US,3.0,TBD
ROA,RoanokeâBlacksburg Regional Airport,US,2.0,TBD
ROC,Greater Rochester International Airport,US,3.0,TBD
RST,Rochester International Airport,US,2.0,TBD
RSW,Southwest Florida International Airport,US,1.0,TBD
SAN,San Diego International Airport,US,1.0,TBD
SAT,San Antonio International Airport,US,3.0,TBD
SAV,Savannah Hilton Head International Airport,US,2.0,TBD
SBN,South Bend Regional Airport,US,3.0,TBD
SDF,Louisville Muhammad Ali International Airport,US,3.0,TBD
SEA,Seattle Tacoma International Airport,US,4.0,TBD
SFB,Orlando Sanford International Airport,US,4.0,TBD
SFO,San Francisco International Airport,US,4.0,TBD
SGF,Springfield Branson National Airport,US,2.0,TBD
SJC,Norman Y. Mineta San Jose International Airport,US,3.0,TBD
SKA,Fairchild Air Force Base,US,1.0,TBD
SLC,Salt Lake City International Airport,US,4.0,TBD
SMF,Sacramento International Airport,US,2.0,TBD
SNA,John Wayne Airport-Orange County Airport,US,2.0,TBD
SPI,Abraham Lincoln Capital Airport,US,3.0,TBD
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,US,4.0,TBD
SRQ,Sarasota Bradenton International Airport,US,2.0,TBD
SSC,Shaw Air Force Base,US,2.0,TBD
STL,St Louis Lambert International Airport,US,4.0,TBD
SUS,Spirit of St Louis Airport,US,2.0,TBD
SUU,Travis Air Force Base,US,2.0,TBD
SUX,Sioux Gateway Airport/Brigadier General Bud Day Field,US,2.0,TBD
SYR,Syracuse Hancock International Airport,US,3.0,TBD
SZL,Whiteman Air Force Base,US,1.0,TBD
TCM,McChord Air Force Base,US,2.0,TBD
TIK,Tinker Air Force Base,US,2.0,TBD
TLH,Tallahassee Regional Airport,US,2.0,TBD
TOL,Toledo Express Airport,US,2.0,TBD
TPA,Tampa International Airport,US,3.0,TBD
TRI,Tri-Cities Regional TN/VA Airport,US,2.0,TBD
TUL,Tulsa International Airport,US,3.0,TBD
TUS,Tucson International Airport / Morris Air National Guard Base,US,3.0,TBD
TYS,McGhee Tyson Airport,US,2.0,TBD
VBG,Vandenberg Air Force Base,US,1.0,TBD
VPS,Destin-Ft Walton Beach Airport,US,2.0,TBD
WRB,Robins Air Force Base,US,1.0,TBD
TIA,Tirana International Airport Mother Teresa,AL,1.0,TBD
BOJ,Burgas Airport,BG,1.0,TBD
SOF,Sofia Airport,BG,1.0,TBD
VAR,Varna Airport,BG,1.0,TBD
LCA,Larnaca International Airport,CY,1.0,TBD
PFO,Paphos International Airport,CY,1.0,TBD
AKT,RAF Akrotiri,GB,1.0,TBD
ZAG,Zagreb Airport,HR,1.0,TBD
ALC,Alicante International Airport,ES,1.0,TBD
BCN,Barcelona International Airport,ES,3.0,TBD
MAD,Adolfo SuÃ¡rez MadridâBarajas Airport,ES,4.0,TBD
AGP,MÃ¡laga Airport,ES,2.0,TBD
PMI,Palma De Mallorca Airport,ES,2.0,TBD
SCQ,Santiago de Compostela Airport,ES,1.0,TBD
BOD,Bordeaux-MÃ©rignac Airport,FR,2.0,TBD
TLS,Toulouse-Blagnac Airport,FR,2.0,TBD
LYS,Lyon Saint-ExupÃ©ry Airport,FR,2.0,TBD
MRS,Marseille Provence Airport,FR,2.0,TBD
NCE,Nice-CÃ´te d'Azur Airport,FR,2.0,TBD
CDG,Charles de Gaulle International Airport,FR,4.0,TBD
ORY,Paris-Orly Airport,FR,3.0,TBD
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,2.0,TBD
ATH,Eleftherios Venizelos International Airport,GR,2.0,TBD
HER,Heraklion International Nikos Kazantzakis Airport,GR,3.0,TBD
SKG,Thessaloniki Macedonia International Airport,GR,2.0,TBD
BUD,Budapest Liszt Ferenc International Airport,HU,2.0,TBD
BRI,Bari Karol WojtyÅa Airport,IT,2.0,TBD
CTA,Catania-Fontanarossa Airport,IT,1.0,TBD
PMO,FalconeâBorsellino Airport,IT,2.0,TBD
CAG,Cagliari Elmas Airport,IT,1.0,TBD
MXP,Malpensa International Airport,IT,2.0,TBD
BGY,Milan Bergamo Airport,IT,2.0,TBD
TRN,Turin Airport,IT,1.0,TBD
