type,name,iso_country,iata_code
large_airport,Mac Dill Air Force Base,US,MCF
large_airport,Kansas City International Airport,US,MCI
large_airport,Orlando International Airport,US,MCO
large_airport,Chicago Midway International Airport,US,MDW
large_airport,Memphis International Airport,US,MEM
large_airport,Dobbins Air Reserve Base,US,MGE
large_airport,Montgomery Regional (Dannelly Field) Airport,US,MGM
large_airport,Manchester-Boston Regional Airport,US,MHT
large_airport,Miami International Airport,US,MIA
large_airport,General Mitchell International Airport,US,MKE
large_airport,Quad City International Airport,US,MLI
large_airport,Monroe Regional Airport,US,MLU
large_airport,Mobile Regional Airport,US,MOB
large_airport,Dane County Regional Truax Field,US,MSN
large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,US,MSP
large_airport,Louis Armstrong New Orleans International Airport,US,MSY
large_airport,Mountain Home Air Force Base,US,MUO
large_airport,Metropolitan Oakland International Airport,US,OAK
large_airport,Will Rogers World Airport,US,OKC
large_airport,Eppley Airfield,US,OMA
large_airport,Ontario International Airport,US,ONT
large_airport,Chicago O'Hare International Airport,US,ORD
large_airport,Norfolk International Airport,US,ORF
large_airport,Tyndall Air Force Base,US,PAM
large_airport,Palm Beach International Airport,US,PBI
large_airport,Portland International Airport,US,PDX
large_airport,Newport News Williamsburg International Airport,US,PHF
large_airport,Philadelphia International Airport,US,PHL
large_airport,Phoenix Sky Harbor International Airport,US,PHX
large_airport,General Wayne A. Downing Peoria International Airport,US,PIA
large_airport,Pittsburgh International Airport,US,PIT
large_airport,Theodore Francis Green State Airport,US,PVD
large_airport,Portland International Jetport,US,PWM
large_airport,Raleigh Durham International Airport,US,RDU
large_airport,Chicago Rockford International Airport,US,RFD
large_airport,Richmond International Airport,US,RIC
large_airport,Randolph Air Force Base,US,RND
large_airport,Reno Tahoe International Airport,US,RNO
large_airport,RoanokeâBlacksburg Regional Airport,US,ROA
large_airport,Greater Rochester International Airport,US,ROC
large_airport,Rochester International Airport,US,RST
large_airport,Southwest Florida International Airport,US,RSW
large_airport,San Diego International Airport,US,SAN
large_airport,San Antonio International Airport,US,SAT
large_airport,Savannah Hilton Head International Airport,US,SAV
